0,0,108,340,730,52302.5121383667
0,1,92,285,624,42574.74932861328
0,2,92,285,645,42598.28579711914
0,3,107,339,724,52467.972244262695
0,4,107,339,728,52506.48825073242
0,5,85,268,593,42353.12526702881
0,6,85,268,588,42344.009269714355
0,7,107,338,742,52577.64214324951
0,8,85,267,599,42384.14724731445
0,9,107,338,740,52628.17768859863
0,10,107,338,753,52700.00650024414
0,11,85,268,597,42514.57791900635
0,12,85,268,577,42505.478660583496
0,13,109,340,743,53065.7195892334
0,14,86,269,584,42594.838134765625
0,15,94,287,629,43092.33491516113
0,16,86,271,587,42682.662117004395
0,17,109,342,752,54052.97449493408
0,18,86,270,571,42719.0590133667
0,19,109,343,743,54530.54692840576
0,20,86,273,601,42766.226303100586
0,21,109,343,741,55085.94602203369
0,22,86,271,594,42796.66178894043
0,23,109,342,760,54968.66382598877
1,0,86,270,601,42856.25399017334
1,1,110,343,733,55494.95276641846
1,2,86,271,584,42935.60347747803
1,3,109,342,725,55970.446144104004
1,4,94,288,632,43657.781158447266
1,5,86,270,572,43017.13246154785
1,6,86,270,588,43027.994148254395
1,7,109,342,736,56895.36917877197
1,8,86,270,579,43128.75469970703
1,9,109,342,728,57223.060974121094
1,10,86,270,572,43168.6965713501
1,11,109,343,723,57330.838539123535
1,12,86,271,579,43201.92615509033
1,13,109,343,722,57446.95420837402
1,14,109,344,762,57517.05546569824
1,15,109,343,759,57573.33686828613
1,16,86,272,570,43326.513671875
1,17,109,342,721,57646.67325592041
1,18,86,270,570,43397.39489746094
1,19,110,342,683,57759.394439697266
1,20,86,270,538,43452.74700164795
1,21,87,269,537,43516.10140991211
1,22,87,267,533,43499.42964935303
1,23,111,339,674,57902.72250366211
2,0,112,350,749,57937.912200927734
2,1,90,277,584,43614.28325653076
2,2,112,347,716,58010.185234069824
2,3,112,345,728,58057.67882537842
2,4,112,343,730,58100.40478515625
2,5,89,272,567,43728.798194885254
2,6,89,272,579,43747.98432159424
2,7,89,272,579,43780.00644683838
2,8,112,343,714,58158.88319396973
2,9,113,343,714,58209.64408874512
2,10,114,343,732,58257.52250671387
2,11,91,272,575,43901.54109954834
2,12,114,343,726,58321.686378479004
2,13,91,273,572,43949.36028289795
2,14,114,344,732,58332.82241821289
2,15,91,273,596,43989.71876525879
2,16,114,344,742,58036.18790435791
2,17,90,272,569,43663.18312835693
2,18,90,272,574,43679.574630737305
2,19,113,344,758,58020.77161407471
2,20,113,343,709,58044.03486633301
2,21,90,273,563,43770.756408691406
2,22,90,272,556,43804.43605041504
2,23,90,272,556,43837.31694793701
3,0,114,347,763,58281.56833648682
3,1,91,274,610,43908.00695037842
3,2,91,274,616,43950.383850097656
3,3,115,347,759,58491.41265106201
3,4,115,347,762,58560.20958709717
3,5,92,274,612,44102.04362487793
3,6,115,347,762,58668.95469665527
3,7,116,347,776,58743.5964050293
3,8,93,274,602,44409.63355255127
3,9,93,274,583,44620.29374694824
3,10,116,348,756,59243.013679504395
3,11,93,275,614,44718.38326263428
3,12,93,275,595,44767.2060546875
3,13,116,348,778,59445.357109069824
3,14,116,348,766,59492.15943145752
3,15,93,277,597,44873.63680267334
3,16,94,277,588,44890.96520996094
3,17,94,276,597,45096.54746246338
3,18,118,350,766,60132.711029052734
3,19,103,295,721,47254.02322387695
3,20,118,352,822,61953.40037536621
3,21,94,275,616,46934.194496154785
3,22,117,350,766,62610.72218322754
3,23,94,275,615,46942.063735961914
4,0,95,278,626,47060.654296875
4,1,119,354,775,63830.04382324219
4,2,96,278,606,47976.82122039795
4,3,120,354,792,64365.70903778076
4,4,97,277,592,46785.582107543945
4,5,120,352,793,63264.570304870605
4,6,120,353,790,63436.22821807861
4,7,120,352,778,63815.23636627197
4,8,112,334,698,63412.87644195557
4,9,97,277,619,47037.72700500488
4,10,97,277,602,47065.72806549072
4,11,120,352,773,65266.613525390625
4,12,97,277,605,47130.736473083496
4,13,112,335,729,64188.92995452881
4,14,97,278,628,46338.33729553223
4,15,120,353,815,65943.73892974854
4,16,98,278,610,46449.85397338867
4,17,98,278,580,47370.646423339844
4,18,121,353,737,68262.15853118896
4,19,121,352,736,68906.49600982666
4,20,98,277,578,49378.75769042969
4,21,121,352,735,69760.52779388428
4,22,121,352,735,69769.23244476318
4,23,121,352,729,70085.89789581299
5,0,98,277,572,50010.95789337158
5,1,121,352,727,70448.21492004395
5,2,121,350,725,70552.2647857666
5,3,98,277,571,50328.57939147949
5,4,98,277,571,50372.61683654785
5,5,121,350,725,70671.48505401611
5,6,121,350,725,70704.54898834229
5,7,98,277,571,50480.907775878906
5,8,121,350,725,70772.5929107666
5,9,121,350,725,70805.93342590332
5,10,98,277,571,50570.782791137695
5,11,121,350,725,70845.30220031738
5,12,121,350,725,70913.22537994385
5,13,98,277,571,50677.492614746094
5,14,98,276,570,50782.373596191406
5,15,121,349,724,71259.33306121826
5,16,121,349,724,71412.53889465332
5,17,121,349,724,71674.26631164551
5,18,98,276,570,51587.126037597656
5,19,98,276,570,51671.92588806152
5,20,98,276,570,52015.14722442627
5,21,120,348,723,72457.07647705078
5,22,98,276,570,52331.20936584473
5,23,120,348,723,72624.09970092773
6,0,98,280,640,52694.96346282959
6,1,120,355,827,73321.27534484863
6,2,98,280,654,53302.99057006836
6,3,120,354,811,73728.61095428467
6,4,98,279,659,53628.34896850586
6,5,120,354,821,74064.42555236816
6,6,98,279,634,53679.17056274414
6,7,98,279,652,53866.43086242676
6,8,120,354,823,74323.4094619751
6,9,120,354,811,73980.34936523438
6,10,98,279,640,53831.41869354248
6,11,120,354,815,74228.759765625
6,12,98,279,640,54052.264724731445
