year,month,day,time,region,ad,Total_Bytes
2018,3,31,18,fra,1,1207710148096
2018,3,31,19,fra,1,1209752381952
2018,3,31,20,fra,1,1210004512768
2018,3,31,21,fra,1,1211931989504
2018,3,31,22,fra,1,1212151443968
2018,3,31,23,fra,1,1210988001280
2018,4,1,0,fra,1,1211228476928
2018,4,1,1,fra,1,1211992103936
2018,4,1,2,fra,1,1212209276416
2018,4,1,3,fra,1,1214988963328
2018,4,1,4,fra,1,1215228361216
2018,4,1,5,fra,1,1210253009408
2018,4,1,6,fra,1,1219030739968
2018,4,1,7,fra,1,1219257150464
2018,4,1,8,fra,1,1217827055616
2018,4,1,9,fra,1,1218038203904
2018,4,1,10,fra,1,1220374159360
2018,4,1,11,fra,1,1220591399936
2018,4,1,12,fra,1,1218407431168
2018,4,1,13,fra,1,1218675385856
2018,4,1,14,fra,1,1214953252864
2018,4,1,15,fra,1,1215181234176
2018,4,1,16,fra,1,1217061591552
2018,4,1,17,fra,1,1217296469504
2018,4,1,18,fra,1,1214085719552
2018,4,1,19,fra,1,1222702594560
2018,4,1,20,fra,1,1222933452800
2018,4,1,21,fra,1,1219521535488
2018,4,1,22,fra,1,1219737645056
2018,4,1,23,fra,1,1225294814208
2018,4,2,0,fra,1,1225485664768
2018,4,2,1,fra,1,1222990068736
2018,4,2,2,fra,1,1223202781184
2018,4,2,3,fra,1,1222543336448
2018,4,2,4,fra,1,1222779011072
2018,4,2,5,fra,1,1222703353856
2018,4,2,6,fra,1,1222960111616
2018,4,2,7,fra,1,1217087896576
2018,4,2,8,fra,1,1226359962112
2018,4,2,9,fra,1,1226574409216
2018,4,2,10,fra,1,1219793651200
2018,4,2,11,fra,1,1220019854848
2018,4,2,12,fra,1,1223634258432
2018,4,2,13,fra,1,1223873240064
2018,4,2,14,fra,1,1221951789056
2018,4,2,15,fra,1,1222179961344
2018,4,2,16,fra,1,1223021502976
2018,4,2,17,fra,1,1223242477056
2018,4,2,18,fra,1,1224040999936
2018,4,2,19,fra,1,1224288739328
2018,4,2,20,fra,1,1215540158464
2018,4,2,21,fra,1,1221775494144
2018,4,2,22,fra,1,1222014800384
2018,4,2,23,fra,1,1222881430528
2018,4,3,0,fra,1,1223082862592
2018,4,3,1,fra,1,1220705704448
2018,4,3,2,fra,1,1220937055232
2018,4,3,3,fra,1,1224097859584
2018,4,3,4,fra,1,1224302108672
2018,4,3,5,fra,1,1227055697920
2018,4,3,6,fra,1,1227282479104
2018,4,3,7,fra,1,1225565207040
2018,4,3,8,fra,1,1239934380544
2018,4,3,9,fra,1,1239414932480
2018,4,3,10,fra,1,1243281024512
2018,4,3,11,fra,1,1243511470080
2018,4,3,12,fra,1,1237626673664
2018,4,3,13,fra,1,1237871258624
2018,4,3,14,fra,1,1241888911872
2018,4,3,15,fra,1,1242091285504
2018,4,3,16,fra,1,1242037877248
